Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.db.marshal.InetAddressType;59.0;0.0;25.0;2.0;16.0;8.0;14.0;0.6666666666666667;0.8;1.0;1.0;6.0;6.0;12.0;5.0;23.0;14.0;17.0;2.0;2.0;3.0;0.0;9.0;0.0;2.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.nodetool.PauseHandoff;6.0;0.0;8.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;8.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropRoleStatement;47.0;0.0;20.0;3.0;18.0;11.0;0.0;0.16666666666666663;0.25;2.0;0.0;3.0;3.0;27.0;1.0;20.0;14.0;10.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;3.0;0.0;3.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.transport.messages.AuthChallenge;34.0;0.0;15.0;3.0;1.0;1.0;0.0;0.5;0.5;2.0;1.0;1.0;1.0;7.0;3.0;15.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.security.EncryptionContext;132.0;0.0;25.0;1.0;23.0;25.0;35.0;0.7613636363636364;0.8375;8.0;3.0;11.0;11.0;21.0;9.0;23.0;38.0;13.0;2.0;1.0;1.0;0.0;6.0;0.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;808.0;0.0;83.0;1.0;183.0;66.0;1529.0;0.8732718894009217;0.8875878220140516;7.0;1.0;62.0;59.0;288.0;93.0;66.0;130.0;39.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;321.0;0.0;61.0;2.0;22.0;10.0;3.0;0.6666666666666667;1.0;1.0;0.0;3.0;3.0;86.0;6.0;54.0;36.0;41.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;24.0;0.0;14.0;3.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;2.0;14.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;62.0;0.0;24.0;2.0;11.0;5.0;2.0;0.5555555555555556;0.8333333333333334;3.0;0.0;3.0;2.0;18.0;2.0;21.0;10.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropTriggerStatement;42.0;0.0;26.0;4.0;17.0;5.0;3.0;0.6666666666666667;1.0;3.0;0.0;3.0;3.0;20.0;1.0;26.0;8.0;16.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.index.sasi.disk.TokenTree$OnDiskToken;82.0;0.0;34.0;2.0;18.0;15.0;7.0;0.5;0.625;2.0;0.0;5.0;4.0;19.0;3.0;30.0;20.0;28.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
